,Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,nueva,reporte
0,0,"September 17, 1908",1718,"Fort Myer, Virginia",Military - U.S. Army,?,Demonstration,Wright Flyer III,?,1,2,1,1,1,1,0,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",1908-09-17,"Durante un vuelo de demostración, un avión del Ejército de los EE. UU. pilotado por Orville Wright se zambulló en el suelo desde una altura de aproximadamente 75 pies, matando al teniente Thomas E. Selfridge, de 26 años, que era un pasajero. Esta fue la primera muerte de avión registrada en la historia. Una de las dos hélices se separó en vuelo, soltando los cables que sujetaban el timón y provocando la pérdida de control de la aeronave. Orville Wright sufrió fracturas de costillas, pelvis y una pierna. Selfridge sufrió un aplastamiento de cráneo y murió poco tiempo después."
1,1,"September 07, 1909",?,"Juvisy-sur-Orge, France",?,?,Air show,Wright Byplane,SC1,?,1,0,1,1,0,0,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",1909-09-07,"Eugene Lefebvre fue el primer piloto en morir en un accidente aéreo, después de que sus controles se atascaran mientras volaba en un espectáculo aéreo."
2,2,"July 12, 1912",0630,"Atlantic City, New Jersey",Military - U.S. Navy,?,Test flight,Dirigible,?,?,5,0,5,5,0,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",1912-07-12,El primer dirigible estadounidense Akron explotó cerca de la costa a una altitud de 1000 pies durante un vuelo de prueba.
3,3,"August 06, 1913",?,"Victoria, British Columbia, Canada",Private,?,?,Curtiss seaplane,?,?,1,0,1,1,0,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",1913-08-06,"El primer accidente de avión mortal en Canadá ocurrió cuando murió el aviador estadounidense John M. Bryant, California."
4,4,"September 09, 1913",1830,Over the North Sea,Military - German Navy,?,?,Zeppelin L-1 (airship),?,?,20,?,?,14,?,?,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,1913-09-09,La aeronave voló hacia una tormenta eléctrica y se encontró con una fuerte corriente descendente que se estrelló 20 millas al norte de la isla Helgoland en el mar. El barco se partió en dos y el coche de control se hundió inmediatamente ahogando a sus ocupantes.
5,5,"October 17, 1913",1030,"Near Johannisthal, Germany",Military - German Navy,?,?,Zeppelin L-2 (airship),?,?,28,?,?,28,?,?,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again.",1913-10-17,"El gas de hidrógeno que se estaba ventilando fue succionado por el motor delantero y se encendió, lo que provocó que la aeronave explotara y se quemara a 3000 pies. otra vez."
6,6,"March 05, 1915",0100,"Tienen, Belgium",Military - German Navy,?,?,Zeppelin L-8 (airship),?,?,41,0,41,17,0,17,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,1915-03-05,Se estrelló contra los árboles mientras intentaba aterrizar después de ser derribado por aviones británicos y franceses.
7,7,"September 03, 1915",1520,"Off Cuxhaven, Germany",Military - German Navy,?,?,Zeppelin L-10 (airship),?,?,19,?,?,19,?,?,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",1915-09-03,"Explotó y se quemó cerca de la isla de Neuwerk, cuando el gas de hidrógeno, que se ventilaba, fue encendido por un rayo."
8,8,"July 28, 1916",?,"Near Jambol, Bulgeria",Military - German Army,?,?,Schutte-Lanz S-L-10 (airship),?,?,20,?,?,20,?,?,0,"Crashed near the Black Sea, cause unknown.",1916-07-28,"Se estrelló cerca del Mar Negro, causa desconocida."
9,9,"September 24, 1916",0100,"Billericay, England",Military - German Navy,?,?,Zeppelin L-32 (airship),?,?,22,?,?,22,?,?,0,Shot down by British aircraft crashing in flames.,1916-09-24,Derribado por aviones británicos que se estrellan en llamas.
